,session_id,evse_id,connector_id,start_datetime,end_datetime,total_duration,charge_duration,energy_kwh,start_soc,end_soc,flag_id
61,31381,145,277,2019-11-06 13:40:32,2019-11-06 13:41:03,0.0086111111111111,0.0,0.0,37.0,37.0,64
62,31399,145,277,2019-10-31 10:15:17,2019-10-31 10:15:38,0.0058333333333333,0.0,0.0,0.0,0.0,64
63,31400,145,277,2019-10-31 09:54:00,2019-10-31 09:54:31,0.0086111111111111,0.0,0.0,0.0,0.0,64
64,31401,145,277,2019-10-31 09:50:07,2019-10-31 09:51:13,0.0183333333333333,0.0,0.0,0.0,0.0,64
65,31440,145,277,2019-10-09 19:17:43,2019-10-09 19:18:45,0.0172222222222222,0.0,0.0,74.0,74.0,64
66,31456,145,277,2019-10-03 11:40:05,2019-10-03 12:20:30,0.6736111111111112,0.6677777777777778,13.9,34.0,74.0,0
67,31468,145,277,2019-10-01 16:24:01,2019-10-01 16:40:27,0.2738888888888889,0.2688888888888889,5.6,40.0,56.0,0
68,31507,145,277,2019-09-14 15:49:31,2019-09-14 16:14:49,0.4216666666666667,0.4166666666666667,8.6,36.0,63.0,0
69,31511,145,277,2019-09-13 14:25:35,2019-09-13 15:08:46,0.7197222222222223,0.715,14.3,30.0,72.0,0
70,31532,145,277,2019-09-05 12:05:01,2019-09-05 12:18:53,0.2311111111111111,0.2266666666666666,4.8,50.0,63.0,0
71,31539,145,277,2019-08-31 17:17:23,2019-08-31 17:39:06,0.3619444444444444,0.3566666666666667,7.5,45.0,67.0,0
72,31554,145,277,2019-08-26 13:07:50,2019-08-26 13:32:10,0.4055555555555555,0.4,3.1,84.0,96.0,0
73,31557,145,277,2019-08-24 16:10:08,2019-08-24 16:40:30,0.5061111111111111,0.5011111111111111,8.3,74.0,96.0,0
74,31574,145,277,2019-08-17 16:37:25,2019-08-17 16:46:37,0.1533333333333333,0.1488888888888888,3.3,78.0,87.0,0
75,31752,518,282,2020-06-30 19:34:46,2020-06-30 20:01:53,0.4519444444444444,0.4466666666666666,16.38,33.0,0.0,4
76,31760,407,284,2020-06-30 18:56:39,2020-06-30 19:47:12,0.8425,0.8422222222222222,28.06,43.0,96.0,0
77,31773,518,282,2020-06-30 18:52:04,2020-06-30 19:06:24,0.2388888888888889,0.2319444444444444,9.89,100.0,56.00000000000001,4
78,31785,598,291,2020-06-30 17:39:33,2020-06-30 18:31:41,0.8688888888888889,0.85,35.242,24.0,89.0,0
79,31788,429,1429,2020-06-30 16:40:57,2020-06-30 18:16:41,1.5955555555555556,1.5891666666666666,30.7,5.0,90.0,0
80,31795,518,282,2020-06-30 18:00:14,2020-06-30 18:10:58,0.1788888888888888,0.1733333333333333,7.57,33.0,0.0,4
81,31800,236,307,2020-06-30 17:29:02,2020-06-30 17:57:28,0.4738888888888889,0.4666666666666667,10.71,42.0,99.0,0
82,31882,429,1429,2020-06-30 14:35:58,2020-06-30 15:19:37,0.7275,0.7211111111111111,8.5,78.0,98.0,0
83,31895,584,286,2020-06-30 13:54:02,2020-06-30 14:54:11,1.0025,0.9833333333333332,27.236,43.0,89.0,0
84,31896,518,282,2020-06-30 14:36:10,2020-06-30 14:52:07,0.2658333333333333,0.2608333333333333,4.24,72.0,0.0,4
85,31958,429,1429,2020-06-30 11:51:20,2020-06-30 12:29:33,0.6369444444444444,0.6305555555555555,9.5,74.0,98.0,0
86,31978,584,287,2020-06-30 11:37:13,2020-06-30 11:46:32,0.1552777777777777,0.1333333333333333,2.792,56.99999999999999,81.0,0
87,32002,507,288,2020-06-30 10:42:21,2020-06-30 11:07:02,0.4113888888888889,0.4052777777777778,4.6,65.0,0.0,4
88,32025,518,282,2020-06-30 09:51:46,2020-06-30 10:15:04,0.3883333333333333,0.3830555555555555,13.62,38.0,0.0,4
89,32072,407,285,2020-06-30 06:33:04,2020-06-30 07:13:20,0.6711111111111111,0.6666666666666666,13.645,22.0,100.0,0
90,32116,584,286,2020-06-29 18:46:55,2020-06-29 19:30:33,0.7272222222222222,0.6833333333333333,34.619,40.0,80.0,0
91,32141,518,282,2020-06-29 17:44:41,2020-06-29 17:54:20,0.1608333333333333,0.1555555555555555,2.29,81.0,94.0,0
92,32144,507,288,2020-06-29 17:23:33,2020-06-29 17:44:42,0.3525,0.3466666666666667,11.41,20.0,0.0,4
93,32151,518,282,2020-06-29 17:20:51,2020-06-29 17:31:19,0.1744444444444444,0.1663888888888889,2.13,85.0,0.0,4
94,32179,429,1429,2020-06-29 15:49:43,2020-06-29 16:47:29,0.9627777777777776,0.9547222222222222,16.7,34.0,83.0,0
95,32204,407,285,2020-06-29 15:19:05,2020-06-29 15:52:02,0.5491666666666667,0.5422222222222223,15.519,5.0,86.0,0
96,32217,429,1429,2020-06-29 13:51:29,2020-06-29 15:01:20,1.1641666666666666,1.1566666666666667,19.8,43.0,98.0,0
97,32250,584,286,2020-06-29 13:28:41,2020-06-29 13:46:32,0.2975,0.2666666666666667,13.867,16.0,32.0,0
98,32259,518,282,2020-06-29 12:59:17,2020-06-29 13:26:27,0.4527777777777778,0.4475,17.58,20.0,0.0,4
99,32272,598,291,2020-06-29 11:40:19,2020-06-29 12:46:02,1.0952777777777778,1.0666666666666669,35.008,33.0,96.0,0
100,32275,584,287,2020-06-29 12:23:41,2020-06-29 12:42:49,0.3188888888888889,0.3,5.872,30.0,81.0,0
