,id,vehicle_id,km,start_datetime,stop_datetime,duration_hours,start_celsius,stop_celsius,start_rucc_id,stop_rucc_id,flag_id
66,224121,697,143.0,2021-03-06 06:40:00,2021-03-06 13:30:00,6.921944444444445,5.0,15.0,1.0,1.0,0.0
67,224122,697,211.0,2021-03-08 05:30:00,2021-03-08 16:40:00,11.096944444444444,5.0,10.0,1.0,1.0,0.0
68,224123,697,38.0,2021-03-09 15:40:00,2021-03-09 17:00:00,1.396111111111111,10.0,5.0,1.0,1.0,0.0
69,224124,697,190.3759999999893,2021-06-25 12:30:00,2021-06-25 21:30:00,8.881388888888889,30.0,20.0,1.0,1.0,0.0
70,224125,697,164.8799999999901,2021-06-28 05:30:00,2021-06-28 13:30:00,7.942777777777778,25.0,40.0,1.0,1.0,0.0
71,224126,697,165.4959999999992,2021-06-29 05:30:00,2021-06-29 13:20:00,7.85861111111111,25.0,35.0,1.0,1.0,0.0
72,224127,697,165.12799999999697,2021-07-02 05:30:00,2021-07-02 13:20:00,7.775277777777777,20.0,35.0,1.0,1.0,0.0
73,224128,697,198.0,2021-07-03 06:20:00,2021-07-03 20:30:00,14.243333333333332,20.0,25.0,1.0,1.0,0.0
74,224130,697,127.88000000000466,2021-07-07 15:30:00,2021-07-07 21:20:00,5.814722222222222,35.0,25.0,1.0,1.0,0.0
75,224131,697,181.5040000000008,2021-07-09 12:20:00,2021-07-09 21:10:00,8.813611111111111,30.0,25.0,1.0,1.0,0.0
76,224132,697,198.0,2021-07-10 06:40:00,2021-07-10 19:30:00,12.84,25.0,30.0,1.0,1.0,0.0
77,224133,697,165.37600000000387,2021-07-12 04:40:00,2021-07-12 12:30:00,7.909722222222222,25.0,35.0,1.0,1.0,0.0
78,224134,697,224.74400000000608,2021-07-14 04:40:00,2021-07-14 15:20:00,10.64111111111111,20.0,35.0,1.0,1.0,0.0
79,224135,697,165.5040000000008,2021-07-16 04:20:00,2021-07-16 12:10:00,7.908611111111111,20.0,30.0,1.0,1.0,0.0
80,224136,697,166.25599999999395,2021-07-17 11:40:00,2021-07-17 19:50:00,8.044166666666667,30.0,25.0,1.0,1.0,0.0
81,224137,697,165.2480000000069,2021-07-19 05:30:00,2021-07-19 13:20:00,7.874444444444445,20.0,35.0,1.0,1.0,0.0
82,224138,697,182.0,2021-07-20 12:40:00,2021-07-20 21:20:00,8.746944444444443,35.0,25.0,1.0,1.0,0.0
83,224139,697,165.24799999999237,2021-07-22 05:20:00,2021-07-22 13:20:00,7.925000000000001,25.0,35.0,1.0,1.0,0.0
84,224140,697,187.0,2021-07-23 12:30:00,2021-07-23 21:20:00,8.915277777777778,35.0,25.0,1.0,1.0,0.0
85,224141,697,255.6239999999961,2021-07-26 07:00:00,2021-07-26 18:10:00,11.243055555555555,20.0,30.0,1.0,1.0,0.0
86,224142,697,181.87200000000303,2021-07-27 12:40:00,2021-07-27 21:00:00,8.410833333333334,30.0,25.0,1.0,1.0,0.0
87,224143,697,165.12799999999697,2021-07-29 05:30:00,2021-07-29 13:30:00,7.841944444444444,25.0,35.0,1.0,1.0,0.0
88,224144,697,49.24799999999232,2021-07-30 05:30:00,2021-07-30 07:40:00,2.1275,25.0,25.0,1.0,1.0,0.0
89,224145,697,116.37600000000388,2021-07-30 07:40:00,2021-07-30 13:30:00,5.799166666666666,25.0,35.0,1.0,1.0,0.0
90,224146,697,166.0,2021-07-31 12:20:00,2021-07-31 20:30:00,8.193055555555556,30.0,25.0,1.0,1.0,0.0
91,224147,698,250.12400000000343,2020-10-01 06:20:00,2020-10-01 21:40:00,15.352222222222222,20.0,20.0,1.0,1.0,0.0
92,224148,698,67.87599999999657,2020-10-03 17:30:00,2020-10-03 20:10:00,2.6988888888888893,35.0,20.0,1.0,1.0,0.0
93,224149,698,228.6239999999961,2020-10-04 07:40:00,2020-10-04 18:20:00,10.540833333333332,15.0,25.0,1.0,1.0,0.0
94,224150,698,238.3760000000038,2020-10-05 11:20:00,2020-10-05 21:00:00,9.620833333333334,30.0,20.0,1.0,1.0,0.0
95,224151,698,279.872000000003,2020-10-06 05:30:00,2020-10-06 18:40:00,13.042777777777776,15.0,25.0,1.0,1.0,0.0
96,224152,698,259.8720000000031,2020-10-07 05:40:00,2020-10-07 18:30:00,12.952777777777778,15.0,25.0,1.0,1.0,0.0
97,224153,698,244.7519999999932,2020-10-08 05:40:00,2020-10-08 17:40:00,11.979444444444445,15.0,20.0,1.0,1.0,0.0
98,224154,698,279.37600000000384,2020-10-09 05:40:00,2020-10-09 19:10:00,13.575,15.0,15.0,1.0,1.0,0.0
99,224155,698,130.5,2020-10-10 14:30:00,2020-10-10 20:20:00,5.866944444444445,25.0,15.0,1.0,1.0,0.0
100,224156,698,229.2480000000068,2020-10-12 05:40:00,2020-10-12 16:20:00,10.77777777777778,15.0,30.0,1.0,1.0,0.0
